2020-04-28 02:29:49 INFO  UserDaoImplementation:98 - User vmmv was updated
2020-04-28 02:37:09 INFO  UserDaoImplementation:98 - User TestHash was updated
2020-04-28 02:37:38 INFO  UserDaoImplementation:98 - User tanya@gmail.com was updated
2020-04-28 02:44:06 INFO  UserDaoImplementation:59 - User{id=22, name='valentin', email='valey@gmail.com', password='827ccb0eea8a706c4c34a16891f84e7b', role='user'} is created
2020-04-30 20:16:50 INFO  CruiseDaoImplementation:43 - Ship{id=1, capacity=100, model='Tanya'}
2020-04-30 20:16:50 INFO  CruiseDaoImplementation:44 - Port{id=1, name='Oslo'}
2020-04-30 20:16:50 INFO  CruiseDaoImplementation:45 - Oslo
2020-04-30 20:16:50 INFO  CruiseDaoImplementation:54 - ports_in_route_counter = 1
2020-04-30 20:16:50 INFO  CruiseDaoImplementation:54 - ports_in_route_counter = 2
2020-04-30 20:16:50 INFO  CruiseDaoImplementation:54 - ports_in_route_counter = 3
2020-04-30 20:16:50 INFO  CruiseDaoImplementation:54 - ports_in_route_counter = 4
2020-04-30 20:16:50 INFO  CruiseDaoImplementation:43 - Ship{id=1, capacity=100, model='Tanya'}
2020-04-30 20:16:50 INFO  CruiseDaoImplementation:44 - Port{id=3, name='Copenhagen'}
2020-04-30 20:16:50 INFO  CruiseDaoImplementation:45 - Copenhagen
2020-04-30 20:16:50 INFO  CruiseDaoImplementation:54 - ports_in_route_counter = 1
2020-04-30 20:16:50 INFO  CruiseDaoImplementation:54 - ports_in_route_counter = 2
2020-04-30 20:16:50 INFO  CruiseDaoImplementation:43 - Ship{id=2, capacity=200, model='Havana'}
2020-04-30 20:16:50 INFO  CruiseDaoImplementation:44 - Port{id=2, name='Skagen'}
2020-04-30 20:16:50 INFO  CruiseDaoImplementation:45 - Skagen
2020-04-30 20:22:10 INFO  CruiseDaoImplementation:43 - Ship{id=1, capacity=100, model='Tanya'}
2020-04-30 20:22:11 INFO  CruiseDaoImplementation:44 - Port{id=1, name='Oslo'}
2020-04-30 20:22:11 INFO  CruiseDaoImplementation:45 - Oslo
2020-04-30 20:22:11 INFO  CruiseDaoImplementation:55 - ports_in_route_counter = 1
2020-04-30 20:22:11 INFO  CruiseDaoImplementation:55 - ports_in_route_counter = 2
